start_time,end_time,start_time_iso,end_time_iso,amount_value,amount_currency,line_item,project_id,organization_id,organization_name
1735689600,1735776000,2025-01-01T00:00:00+00:00,2025-01-02T00:00:00+00:00,,,,,,
1735776000,1735862400,2025-01-02T00:00:00+00:00,2025-01-03T00:00:00+00:00,0.10054749999999998,usd,,,org-fAPezn4awKhGvfQWsFfmrUPG,NJT
1735862400,1735948800,2025-01-03T00:00:00+00:00,2025-01-04T00:00:00+00:00,,,,,,
1735948800,1736035200,2025-01-04T00:00:00+00:00,2025-01-05T00:00:00+00:00,,,,,,
1736035200,1736121600,2025-01-05T00:00:00+00:00,2025-01-06T00:00:00+00:00,,,,,,
1736121600,1736208000,2025-01-06T00:00:00+00:00,2025-01-07T00:00:00+00:00,0.5345,usd,,,org-fAPezn4awKhGvfQWsFfmrUPG,NJT
1736208000,1736294400,2025-01-07T00:00:00+00:00,2025-01-08T00:00:00+00:00,2.1663662,usd,,,org-fAPezn4awKhGvfQWsFfmrUPG,NJT
1736294400,1736380800,2025-01-08T00:00:00+00:00,2025-01-09T00:00:00+00:00,0.9770604,usd,,,org-fAPezn4awKhGvfQWsFfmrUPG,NJT
1736380800,1736467200,2025-01-09T00:00:00+00:00,2025-01-10T00:00:00+00:00,1.8833928500000001,usd,,,org-fAPezn4awKhGvfQWsFfmrUPG,NJT
1736467200,1736553600,2025-01-10T00:00:00+00:00,2025-01-11T00:00:00+00:00,0.47270539999999994,usd,,,org-fAPezn4awKhGvfQWsFfmrUPG,NJT
1736553600,1736640000,2025-01-11T00:00:00+00:00,2025-01-12T00:00:00+00:00,,,,,,
1736640000,1736726400,2025-01-12T00:00:00+00:00,2025-01-13T00:00:00+00:00,,,,,,
1736726400,1736812800,2025-01-13T00:00:00+00:00,2025-01-14T00:00:00+00:00,0.23720305,usd,,,org-fAPezn4awKhGvfQWsFfmrUPG,NJT
1736812800,1736899200,2025-01-14T00:00:00+00:00,2025-01-15T00:00:00+00:00,,,,,,
1736899200,1736985600,2025-01-15T00:00:00+00:00,2025-01-16T00:00:00+00:00,,,,,,
1736985600,1737072000,2025-01-16T00:00:00+00:00,2025-01-17T00:00:00+00:00,0.008982899999999999,usd,,,org-fAPezn4awKhGvfQWsFfmrUPG,NJT
1737072000,1737158400,2025-01-17T00:00:00+00:00,2025-01-18T00:00:00+00:00,,,,,,
1737158400,1737244800,2025-01-18T00:00:00+00:00,2025-01-19T00:00:00+00:00,,,,,,
1737244800,1737331200,2025-01-19T00:00:00+00:00,2025-01-20T00:00:00+00:00,,,,,,
1737331200,1737417600,2025-01-20T00:00:00+00:00,2025-01-21T00:00:00+00:00,,,,,,
1737417600,1737504000,2025-01-21T00:00:00+00:00,2025-01-22T00:00:00+00:00,0.015485,usd,,,org-fAPezn4awKhGvfQWsFfmrUPG,NJT
1737504000,1737590400,2025-01-22T00:00:00+00:00,2025-01-23T00:00:00+00:00,0.03590475,usd,,,org-fAPezn4awKhGvfQWsFfmrUPG,NJT
1737590400,1737676800,2025-01-23T00:00:00+00:00,2025-01-24T00:00:00+00:00,0.018175,usd,,,org-fAPezn4awKhGvfQWsFfmrUPG,NJT
1737676800,1737763200,2025-01-24T00:00:00+00:00,2025-01-25T00:00:00+00:00,,,,,,
1737763200,1737849600,2025-01-25T00:00:00+00:00,2025-01-26T00:00:00+00:00,,,,,,
1737849600,1737936000,2025-01-26T00:00:00+00:00,2025-01-27T00:00:00+00:00,,,,,,
1737936000,1738022400,2025-01-27T00:00:00+00:00,2025-01-28T00:00:00+00:00,,,,,,
1738022400,1738108800,2025-01-28T00:00:00+00:00,2025-01-29T00:00:00+00:00,0.03762815,usd,,,org-fAPezn4awKhGvfQWsFfmrUPG,NJT
1738108800,1738195200,2025-01-29T00:00:00+00:00,2025-01-30T00:00:00+00:00,0.0478402,usd,,,org-fAPezn4awKhGvfQWsFfmrUPG,NJT
1738195200,1738281600,2025-01-30T00:00:00+00:00,2025-01-31T00:00:00+00:00,,,,,,
1738281600,1738368000,2025-01-31T00:00:00+00:00,2025-02-01T00:00:00+00:00,,,,,,
